HCPCS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION
G9390,No unpln rup post cap,No unplanned rupture of the posterior capsule requiring vitrectomy during cataract surgery
G9391,Achv refrac +1d,"Patient achieves refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit"
G9392,Not achv refrac +1d,"Patient does not achieve refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit"
G9393,Ini phq9 >9 remiss <5,Patient with an initial phq-9 score greater than nine who achieves remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score of less than five
G9394,"Dx bipol, death, nhres, hosp","Patient who had a diagnosis of bipolar disorder or personality disorder, death, permanent nursing home resident or receiving hospice or palliative care any time during the measurement or assessment period"
G9395,Ini phq9 >9 no remiss >=5,Patient with an initial phq-9 score greater than nine who did not achieve remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score greater than or equal to five
G9396,Ini phq9 >9 not assess,Patient with an initial phq-9 score greater than nine who was not assessed for remission at twelve months (+/- 30 days)
G9399,Doc disc tx choices,"Documentation in the patient record of a discussion between the physician/clinician and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiveness, and patient preferences toward the outcome of the treatment"
G9400,Doc reas no disc tx opt,Documentation of medical or patient reason(s) for not discussing treatment options; medical reasons: patient is not a candidate for treatment due to advanced physical or mental health comorbidity (including active substance use); currently receiving antiviral treatment; successful antiviral treatment (with sustained virologic response) prior to reporting period; other documented medical reasons; patient reasons: patient unable or unwilling to participate in the discussion or other patient reasons
G9401,No disc tx choices,"No documentation in the patient record of a discussion between the physician or other qualified healthcare professional and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiveness, and patient preferences toward treatment"
G9402,Recd f/u w/in 30d disch,Patient received follow-up within 30 days after discharge
G9403,Doc reas no 30 day f/u,"Clinician documented reason patient was not able to complete 30 day follow-up from acute inpatient setting discharge (e.g., patient death prior to follow-up visit, patient non-compliant for visit follow-up)"
G9404,No 30 day f/u,Patient did not receive follow-up within 30 days after discharge
G9405,Recd f/u w/in 7d dc,Patient received follow-up within 7 days after discharge
G9406,Doc reas no 7d f/u,"Clinician documented reason patient was not able to complete 7 day follow-up from acute inpatient setting discharge (i.e patient death prior to follow-up visit, patient non-compliance for visit follow-up)"
G9407,No 7d f/u,Patient did not receive follow-up within 7 days after discharge
G9408,Card tamp w/in 30d,Patients with cardiac tamponade and/or pericardiocentesis occurring within 30 days
G9409,No card tamp e/in 30d,Patients without cardiac tamponade and/or pericardiocentesis occurring within 30 days
G9410,Admit w/in 180d req remov,"Patient admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision"
G9411,No admit w/in 180d req remov,"Patient not admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision"
G9412,Admit w/in 180d req surg rev,"Patient admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision"
G9413,No admit req surg rev,"Patient not admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision"
G9414,1dose menig vac btwn 10 & 13,"Patient had one dose of meningococcal vaccine (serogroups a, c, w, y or a, c, w, y, b) on or between the patient's 10th and 13th birthdays"
G9415,No 1dose meni vac btwn 10&13,"Patient did not have one dose of meningococcal vaccine (serogroups a, c, w, y or a, c, w, y, b), on or between the patient's 10th and 13th birthdays"
G9416,Pt 1 tdap betw 10-13 yrs,"Patient had one tetanus, diphtheria toxoids and acellular pertussis vaccine (tdap) on or between the patient's 10th and 13th birthdays"
G9417,Pt not 1 tdap betw 10-13 yrs,"Patient did not have one tetanus, diphtheria toxoids and acellular pertussis vaccine (tdap) on or between the patient's 10th and 13th birthdays"
G9418,Lungcx bx rpt docs class,Primary non-small cell lung cancer lung biopsy and cytology specimen report documents classification into specific histologic type following iaslc guidance or classified as nsclc-nos with an explanation
G9419,Med reas not incl histo type,"Documentation of medical reason(s) for not including the histological type or nsclc-nos classification with an explanation (e.g. specimen insufficient or non-diagnostic, specimen does not contain cancer, or other documented medical reasons)"
G9420,Spec site no lung,Specimen site other than anatomic location of lung or is not classified as primary non-small cell lung cancer
G9421,Lung cx bx rpt no doc class,Primary non-small cell lung cancer lung biopsy and cytology specimen report does not document classification into specific histologic type or histologic type does not follow iaslc guidance or is classified as nsclc-nos but without an explanation
G9422,Rpt doc class histo type,"Primary lung carcinoma resection report documents pt category, pn category and for non-small cell lung cancer, histologic type (e.g., squamous cell carcinoma, adenocarcinoma and not nsclc-nos)"
G9423,Med reas rpt no histo type,"Documentation of medical reason for not including pt category, pn category and histologic type [for patient with appropriate exclusion criteria (e.g., metastatic disease, benign tumors, malignant tumors other than carcinomas, inadequate surgical specimens)]"
